parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
k3f1	k3f1	log10	0.00001	0.1	0.37	1
k3b1	k3b1	log10	1	250	4.5	1
k3f2	k3f2	log10	0.1	10	0.07	1
k3b2	k3b2	log10	100	100000	1	1
k3f3	k3f3	log10	0.2	5	0.04	1
k3b3	k3b3	log10	10	100000	7	1
r6_k6f	k6f	log10	1	100	0.3	1
r6_k6b	k6b	log10	1	100	0.0014	1
r14_k14f	k14f	log10	100	100000	0.18	1
r14_k14b	k14b	log10	100	10000	0.00331	1
r25_k25f	k25f	log10	100	10000	0.18	1
r25_k25b	k25b	log10	0.01	1	0.006	1
Gf_LR	Gf_LR	lin	-3	6	-8	1
Gf_RR	Gf_RR	lin	-3	5	-1.86	1
Gf_RSh	Gf_RSh	lin	-3	6	-5.6	1
Gf_LRR	Gf_LRR	lin	-4	5	-10	1
Gf_LRRL	Gf_LRRL	lin	-4	10	1.03	1
Gf_RShP	Gf_RShP	lin	10	15	12	1
Gf_RG	Gf_RG	lin	-4	6	2.5	1
Gf_GS	Gf_GS	lin	-5	10	1	1
Gf_RGS	Gf_RGS	lin	-5	5	0.1	1
Gf_ShG	Gf_ShG	lin	-5	5	1	1
Gf_RShG	GF_RShG	lin	-10	4	15	1
Gf_ShGS	Gf_ShGS	lin	-5	5	5	1
Gf_RPL	Gf_RPL	lin	-5	5	1.5	1
Gf_RPLP	Gf_RPLP	lin	-5	5	6	1
Gf_RPLCGrb	Gf_RPLCGrb	lin	-10	5	1	1
Gf_RPLCShc	Gf_RPLCShc	lin	-10	5	1	1
Gf_RShcGrb	Gf_RShcGrb	lin	-10	5	-1	1
phi	phi	lin	0.1	1	0.35	1
Ea_RR	Ea_RR	lin	-3	-2	3.72	1
Ea_LR	Ea_LR	lin	-4	-3	10	1
Ea_RSh	Ea_RSh	lin	-6	-4	4.7	1
Ea_RG	Ea_RG	lin	-6	-4	5	1
Ea_GS	Ea_GS	lin	-6	-4	1	1
Ea_ShG	Ea_ShG	lin	-6	-4	-3	1
Ea_RPL	Ea_RPL	lin	-4	-3	-6	1
