observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId	
observable_EGFRPtotal	C1	0.64	0		0.00294449	C1_observable_EGFRPtotal	0.0064
observable_EGFRPtotal	C1	6.74	15		0.017	C1_observable_EGFRPtotal	0.0674
observable_EGFRPtotal	C1	3.47	30		0.0118	C1_observable_EGFRPtotal	0.0347
observable_EGFRPtotal	C1	3.56	45		0.00987	C1_observable_EGFRPtotal	0.0356
observable_EGFRPtotal	C1	1.79	60		0.00987	C1_observable_EGFRPtotal	0.0179
observable_EGFRPtotal	C1	1	120		0.0106	C1_observable_EGFRPtotal	0.01
observable_EGFRPtotal	C2	0.64	0		0.00294449	C2_observable_EGFRPtotal	0.0064
observable_EGFRPtotal	C2	30.9	15		0.0339	C2_observable_EGFRPtotal	0.309
observable_EGFRPtotal	C2	23.3	30		0.00676	C2_observable_EGFRPtotal	0.233
observable_EGFRPtotal	C2	15.6	45		0.0199	C2_observable_EGFRPtotal	0.156
observable_EGFRPtotal	C2	12	60		0.0241	C2_observable_EGFRPtotal	0.12
observable_EGFRPtotal	C2	8.73	120		0.026	C2_observable_EGFRPtotal	0.0873
observable_EGFRPtotal	C3	0.64	0		0.00294449	C3_observable_EGFRPtotal	0.0064
observable_EGFRPtotal	C3	69.4	15		0.14	C3_observable_EGFRPtotal	0.694
observable_EGFRPtotal	C3	47.8	30		0.0589	C3_observable_EGFRPtotal	0.478
observable_EGFRPtotal	C3	23.9	45		0.0194	C3_observable_EGFRPtotal	0.239
observable_EGFRPtotal	C3	20.1	60		0.0759	C3_observable_EGFRPtotal	0.201
observable_EGFRPtotal	C3	12.2	120		0.0402	C3_observable_EGFRPtotal	0.122
observable_PLCgPtotal	C2	0.41	0		0.00312	C2_observable_PLCgPtotal	0.0041
observable_PLCgPtotal	C2	4.35	15		0.0217	C2_observable_PLCgPtotal	0.0435
observable_PLCgPtotal	C2	4.76	30		0.027	C2_observable_PLCgPtotal	0.0476
observable_PLCgPtotal	C2	2.17	45		0.00745	C2_observable_PLCgPtotal	0.0217
observable_PLCgPtotal	C2	1.19	60		0.00433	C2_observable_PLCgPtotal	0.0119
observable_PLCgPtotal	C2	1.9	120		0.0104	C2_observable_PLCgPtotal	0.019
observable_PLCgPtotal	C3	0.41	0		0.00312	C3_observable_PLCgPtotal	0.0041
observable_PLCgPtotal	C3	9.48	15		0.0171	C3_observable_PLCgPtotal	0.0948
observable_PLCgPtotal	C3	5.31	30		0.0097	C3_observable_PLCgPtotal	0.0531
observable_PLCgPtotal	C3	3.9	45		0.0102	C3_observable_PLCgPtotal	0.039
observable_PLCgPtotal	C3	3.16	60		0.00866	C3_observable_PLCgPtotal	0.0316
observable_PLCgPtotal	C3	2.34	120		0.00624	C3_observable_PLCgPtotal	0.0234
observable_ShPtotal	C3	0.73	0		0.01	C3_observable_ShPtotal	0.0073
observable_ShPtotal	C3	28.4	15		0.0215	C3_observable_ShPtotal	0.284
observable_ShPtotal	C3	24.5	30		0.0196	C3_observable_ShPtotal	0.245
observable_ShPtotal	C3	25.6	45		0.0204	C3_observable_ShPtotal	0.256
observable_ShPtotal	C3	28.2	60		0.0168	C3_observable_ShPtotal	0.282
observable_ShPtotal	C3	27.9	120		0.0268	C3_observable_ShPtotal	0.279
observable_Grb2Shctotal	C3	4.22	0		0.0368	C3_observable_Grb2Shctotal	0.0422
observable_Grb2Shctotal	C3	35.6	15		0.0468	C3_observable_Grb2Shctotal	0.356
observable_Grb2Shctotal	C3	33.2	30		0.0568	C3_observable_Grb2Shctotal	0.332
observable_Grb2Shctotal	C3	30	45		0.0668	C3_observable_Grb2Shctotal	0.3
observable_Grb2Shctotal	C3	29.6	60		0.0768	C3_observable_Grb2Shctotal	0.296
observable_Grb2Shctotal	C3	28.3	120		0.0868	C3_observable_Grb2Shctotal	0.283
observable_Grb2EGFRtotal	C3	0.04	0		0.0968	C3_observable_Grb2EGFRtotal	0.0004
observable_Grb2EGFRtotal	C3	18.1	15		0.107	C3_observable_Grb2EGFRtotal	0.181
observable_Grb2EGFRtotal	C3	15.8	30		0.117	C3_observable_Grb2EGFRtotal	0.158
observable_Grb2EGFRtotal	C3	8.76	45		0.127	C3_observable_Grb2EGFRtotal	0.0876
observable_Grb2EGFRtotal	C3	6.36	60		0.137	C3_observable_Grb2EGFRtotal	0.0636
observable_Grb2EGFRtotal	C3	4.63	120		0.147	C3_observable_Grb2EGFRtotal	0.0463
