parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
r1_k1f	k1f	log10	0.00001	5	0.003	1
r1_k1b	k1b	log10	0.00001	10	0.06	1
r2_k2f	k2f	log10	0.00001	10	0.01	1
r2_k2b	k2b	log10	0.00001	5	0.1	1
r3_k3f	k3f	log10	0.00001	5	1	1
r3_k3b	k3b	log10	0.00001	10	0.01	1
r4_V4	V4	log10	0.00001	1000	450	1
r4_K4	K4	log10	0.00001	100	50	1
r5_k5f	k5f	log10	0.00001	5	0.06	1
r5_k5b	k5b	log10	0.00001	5	0.2	1
r6_k6f	k6f	log10	0.00001	5	1	1
r6_k6b	k6b	log10	0.00001	5	0.05	1
r7_k7f	k7f	log10	0.00001	5	0.3	1
r7_k7b	k7b	log10	0.00001	10	0.006	1
r8_V8	V8	log10	0.00001	5	1	1
r8_K8	K8	log10	0.00001	500	100	1
r9_k9f	k9f	log10	0.00001	5	0.003	1
r9_k9b	k9b	log10	0.00001	10	0.05	1
r10_k10f	k10f	log10	0.00001	5	0.01	1
r10_k10b	k10b	log10	0.00001	10	0.06	1
r11_k11f	k11f	log10	0.00001	10	0.03	1
r11_k11b	k11b	log10	0.00001	5	0.0045	1
r12_k12f	k12f	log10	0.00001	5	0.0015	1
r12_k12b	k12b	log10	0.00001	10	0.0001	1
r13_k13f	k13f	log10	0.00001	5	0.09	1
r13_k13b	k13b	log10	0.00001	10	0.6	1
r14_k14f	k14f	log10	0.00001	10	6	1
r14_k14b	k14b	log10	0.00001	5	0.06	1
r15_k15f	k15f	log10	0.00001	10	0.3	1
r15_k15b	k15b	log10	0.00001	10	0.0009	1
r16_V16	V16	log10	0.00001	5	1.7	1
r16_K16	K16	log10	0.00001	500	340	1
r17_k17f	k17f	log10	0.00001	5	0.003	1
r17_k17b	k17b	log10	0.00001	10	0.1	1
r18_k18f	k18f	log10	0.00001	5	0.3	1
r18_k18b	k18b	log10	0.00001	5	0.0009	1
r19_k19f	k19f	log10	0.00001	5	0.01	1
r19_k19b	k19b	log10	0.00001	10	0.0214	1
r20_k20f	k20f	log10	0.00001	10	0.12	1
r20_k20b	k20b	log10	0.00001	5	0.00024	1
r21_k21f	k21f	log10	0.00001	10	0.003	1
r21_k21b	k21b	log10	0.00001	10	0.1	1
r22_k22f	k22f	log10	0.00001	5	0.03	1
r22_k22b	k22b	log10	0.00001	10	0.064	1
r23_k23f	k23f	log10	0.00001	10	0.1	1
r23_k23b	k23b	log10	0.00001	5	0.021	1
r24_k24f	k24f	log10	0.00001	5	0.009	1
r24_k24b	k24b	log10	0.00001	10	0.0429	1
r25_k25f	k25f	log10	0.00001	5	1	1
r25_k25b	k25b	log10	0.00001	5	0.03	1
